0,1,2
27120281,-81390945,1
27871964,-82438841,0
30872298,-85929742,1
27709049,-80572557,1
30777609,-84955871,1
30342161,-83840177,1
30148296,-83210982,1
28712017,-81808159,1
26552895,-81948610,1
30449428,-84290950,0
29030531,-82719003,1
30288896,-84848444,1
30584683,-83328781,1
27427213,-82438689,1
28997960,-82016139,1
27108081,-80230818,1
25558428,-80458168,0
24925108,-80713465,1
30659689,-81683649,1
30661155,-86594479,1
27216626,-80827757,1
28468581,-81512343,0
28146663,-80993806,0
26645895,-80430269,0
28196394,-82762191,1
28010895,-82773995,1
28094636,-81498979,1
29697588,-81973970,1
30577638,-86966835,1
27085985,-82438918,1
28744752,-81223280,1
28844473,-82078342,1
30194651,-82857328,1
29693191,-83376380,1
29931522,-82425518,1
29022729,-81172169,1
30141958,-84552965,1
30639134,-85587862,1
31731163,-82194912,1
31361682,-82968235,1
31576952,-82461197,1
31371680,-84338325,1
33087138,-83224920,0
34329372,-83543357,1
33987138,-83698498,1
34264331,-84753929,1
31748753,-83235412,1
31417797,-83355349,1
32806707,-83691315,0
32383904,-83321095,1
31187918,-81889563,1
30856633,-83526479,1
31951531,-81407336,1
32450032,-81715799,1
33080724,-81986767,0
33322351,-84028744,1
31537960,-84611559,0
30939072,-81703469,1
32414349,-82086658,1
33509001,-84910211,1
34931497,-85175034,1
30434346,-82165527,1
31971394,-81071560,0
32292547,-84736706,1
34532713,-85368362,1
34147985,-84477250,1
33930735,-83292152,0
31636180,-85054942,0
33500697,-84351273,0
31050929,-82761330,1
33783756,-84595232,0
31614312,-82724308,1
31172696,-83792379,1
33527678,-82235542,1
31212878,-83412143,1
33326030,-84637108,1
32687207,-84010581,1
31849613,-83727700,1
34922998,-85448302,1
34453661,-84155043,1
30791856,-84549907,1
33891251,-84074560,0
32176429,-83122891,1
32115981,-83791644,1
31543065,-84219594,0
33659494,-84778163,0
31089377,-84986113,1
30768894,-83037116,1
32369703,-81361775,1
34129737,-82840971,1
32568870,-82540305,1
32152808,-81925865,1
34862630,-84248612,1
33460036,-84585773,1
34145452,-85117749,1
34203659,-84103108,1
34297968,-83192787,1
33844371,-84474050,0
34701290,-84449007,1
33231593,-82631164,1
31198914,-81332211,1
34571753,-85025616,1
30901959,-84311493,1
33458056,-83080230,1
34079715,-83930765,0
34629391,-83509934,1
34239428,-83897612,1
33257068,-83089220,0
33680148,-85251297,1
32738687,-84785460,1
34361177,-82941703,1
33157214,-85170588,1
33549947,-84207969,0
32646236,-83651300,1
31571849,-83087813,1
34130594,-83587419,1
33435022,-83626885,1
31806871,-82626991,1
33192426,-82361546,0
32873466,-81875482,1
32635692,-82657495,1
33056543,-83424672,1
33136500,-84148695,1
30955111,-83013828,1
32379902,-82966995,1
31772073,-84222541,1
31770473,-81620830,0
33812714,-82453456,1
31780996,-81773916,1
30975119,-83207206,1
34527671,-83980879,1
33494908,-82513847,1
31512024,-81358252,1
32327479,-84101472,0
34120239,-83288117,1
32254152,-84489818,1
32906319,-84716723,1
31162510,-84713359,1
31274330,-84047656,1
32989503,-83876108,1
32028823,-82516246,1
33611010,-83602459,1
34981449,-84735233,1
32491005,-84874123,0
33571234,-83895063,0
33816730,-83433470,1
33740502,-83170600,1
33904480,-84862139,1
32560698,-83854528,1
34402724,-84378511,1
31369686,-82115363,1
33077371,-84321736,1
33993766,-85091511,1
32275664,-83490090,1
33320818,-83355865,1
31881410,-85024468,1
34804473,-83419137,1
31760361,-84614914,0
33386041,-82090996,0
33611119,-84068288,0
32209028,-84277064,1
32743851,-81628687,1
30985082,-84834731,1
33345253,-84289814,1
34591790,-83352534,1
32074331,-84718627,0
32027663,-84372490,0
32790007,-84565420,0
33559964,-82794766,0
32050694,-81998348,1
32559781,-84227675,1
31931373,-82682963,1
31689973,-84327480,0
30880968,-83885902,1
31475155,-83592123,1
32177513,-82373889,1
34934417,-83828504,1
32383145,-82557135,1
32907328,-85077535,1
31652867,-83578336,1
32661271,-83331033,1
34712091,-84027629,1
32901627,-84212644,1
34934730,-85384631,1
33838638,-83710359,1
31018954,-82416543,1
33296633,-82755599,0
33079750,-82805591,0
31578181,-81880222,1
32076133,-84543517,1
32118831,-82724555,1
34665780,-83709564,1
34929800,-84988536,1
31989039,-83394574,1
33731490,-82710833,1
32806595,-83066814,1
31762219,-83876179,1
43459855,-116243984,1
45086839,-116303451,1
42319496,-111978055,1
42039684,-111441977,1
47147494,-116918177,1
43080334,-112672955,1
43594633,-114322568,0
44004244,-115966981,1
48368750,-116545493,1
43593567,-111957274,1
48750618,-116540670,1
43729598,-113454400,1
43327700,-114801713,1
43602302,-116552636,1
42892211,-111267458,1
42193954,-113872032,1
44271785,-112306237,1
46779553,-116214523,1
44371442,-114856089,1
43009282,-115588317,1
42060353,-112013197,1
43890665,-111650418,1
43989971,-116328567,1
42747536,-114730593,1
45889314,-115557407,1
43858860,-112439084,1
42736869,-114374568,1
